date,google trend,real flu case,positive rate,test case,mask google,severe_case
42106,6,434,0.107054761,4054,1,31
42113,6,264,0.080610687,3275,1,13
42120,5,278,0.089880375,3093,1,15
42127,4,232,0.077617932,2989,1,0
42134,4,181,0.061231394,2956,1,0
42141,4,193,0.067130435,2875,1,0
42148,3,217,0.077889447,2786,1,0
42155,6,284,0.095848802,2963,1,0
42162,7,502,0.150434522,3337,1,0
42169,7,751,0.196854522,3815,1,7
42176,5,897,0.257758621,3480,1,30
42183,6,983,0.240577582,4086,1,39
42190,5,995,0.260130719,3825,1,22
42197,4,684,0.2,3420,1,29
42204,3,462,0.145009416,3186,1,27
42211,2,287,0.102756892,2793,1,14
42218,4,187,0.066809575,2799,1,11
42225,2,191,0.065907522,2898,1,10
42232,2,154,0.05341658,2883,1,0
42239,3,142,0.054636399,2599,1,0
42246,3,133,0.048205872,2759,1,0
42253,4,64,0.025589764,2501,1,0
42260,2,65,0.024353691,2669,1,0
42267,4,53,0.018113465,2926,1,0
42274,3,34,0.01200565,2832,1,0
42281,5,37,0.013800821,2681,1,0
42288,4,27,0.009970458,2708,1,0
42295,7,25,0.009094216,2749,1,0
42302,5,23,0.007958478,2890,1,0
42309,7,24,0.008244589,2911,1,0
42316,5,30,0.010270455,2921,1,0
42323,5,33,0.011777302,2802,1,0
42330,6,16,0.005776173,2770,1,0
42337,5,37,0.013252149,2792,1,0
42344,5,24,0.007954922,3017,1,0
42351,5,21,0.007306889,2874,1,0
42358,5,46,0.014949626,3077,1,0
42365,4,69,0.02134901,3232,1,0
42372,5,97,0.031049936,3124,1,0
42379,4,141,0.044007491,3204,1,0
42386,4,166,0.053617571,3096,1,0
42393,5,230,0.070121951,3280,1,0
42400,5,306,0.086513995,3537,1,3
42407,7,618,0.157052097,3935,1,18
42414,6,1011,0.222491197,4544,1,44
42421,9,1171,0.239174837,4896,1,44
42428,10,1275,0.257108288,4959,1,38
42435,13,1288,0.252054795,5110,1,42
42442,18,1005,0.216082563,4651,1,33
42449,11,776,0.182717212,4247,1,27
42456,10,658,0.203023758,3241,1,31
42463,7,974,0.184714584,5273,1,32
42470,7,704,0.169271459,4159,1,18
42477,6,661,0.162407862,4070,1,27
